,tconst,averageRating,numVotes,startYear,runtimeMinutes,genres,titleType,primaryTitle,budget,id,popularity,poster_path,production_countries,revenue,overview,production_companies_name
3415,tt0117301,6.4,319,1996,95,"Comedy,Drama",movie,Party,0,203949,0.796,/nNaaPGklH663waXBA1lxVulPZxY.jpg,"FR, PT",0,"This French language drama from Portuguese filmmaker Manoel de Oliveira takes an ironic look at the pretentiousness of international jet-setters while simultaneously examining an obsessive romantic relationship between an aging Lothario and a beautiful married woman. The tale begins at a garden party in a lovely villa in the Azores held by Rogerio and Leonor for handsome, middle-aged Michel and his mistress Irene, a noted Greek movie star. The guests aren't there long before an obvious attraction between Leonor and Michel prompts them to head for a private beach (their tryst, if there was one, occurs off-camera). Five years later, the foursome again meet for a garden party and once again they pair off after spending much time discussing gender differences, emotion, social insight and exchanging witty bon mots.","['Gemini Films', 'Madragoa Filmes']"
3416,tt0117301,6.4,319,1996,95,"Comedy,Drama",movie,Party,0,203949,0.796,/nNaaPGklH663waXBA1lxVulPZxY.jpg,"FR, PT",0,"This French language drama from Portuguese filmmaker Manoel de Oliveira takes an ironic look at the pretentiousness of international jet-setters while simultaneously examining an obsessive romantic relationship between an aging Lothario and a beautiful married woman. The tale begins at a garden party in a lovely villa in the Azores held by Rogerio and Leonor for handsome, middle-aged Michel and his mistress Irene, a noted Greek movie star. The guests aren't there long before an obvious attraction between Leonor and Michel prompts them to head for a private beach (their tryst, if there was one, occurs off-camera). Five years later, the foursome again meet for a garden party and once again they pair off after spending much time discussing gender differences, emotion, social insight and exchanging witty bon mots.","['Gemini Films', 'Madragoa Filmes']"
3417,tt0117303,5.8,289,1996,105,Thriller,movie,Passage à l'acte,0,159465,1.862,/ty53gu5EeUf9Mv3gX0BqkN10ml9.jpg,FR,0,"Antoine Rivière, a highly-reputed psychoanalyst, is visited by a new patient, Edouard Berg. When Berg claims to have killed his own wife, the doctor suspects he is a compulsive liar. How could he know that he has been caught in a trap and it's already too late for escape?","['Arena Films', 'Caméra One', 'Cofimage 7', 'D. A. Films', 'France 2 Cinéma']"
3418,tt0117351,5.8,1182,1996,105,"Comedy,Drama",movie,The Best Job in the World,0,40089,4.515,/wiO6LZ6FyHkqTBklR011vlkEZyK.jpg,FR,0,"To be closer to his children following his divorce, Laurent Monier, a history and geography teacher in a peaceful provincial high school, accepts a position in a sensitive college in the Paris suburbs. He is assigned the hardest class, the fourth techno, and he finds an apartment in the Cité des Muriers, a particularly difficult district.","['DD Productions', 'Film Par Film', 'Orly Films', 'Prima Film', 'Sédif Productions', 'TF1 Films Production']"
3419,tt0117351,5.8,1182,1996,105,"Comedy,Drama",movie,The Best Job in the World,0,40089,4.515,/wiO6LZ6FyHkqTBklR011vlkEZyK.jpg,FR,0,"To be closer to his children following his divorce, Laurent Monier, a history and geography teacher in a peaceful provincial high school, accepts a position in a sensitive college in the Paris suburbs. He is assigned the hardest class, the fourth techno, and he finds an apartment in the Cité des Muriers, a particularly difficult district.","['DD Productions', 'Film Par Film', 'Orly Films', 'Prima Film', 'Sédif Productions', 'TF1 Films Production']"
3420,tt0117400,5.7,253,1996,113,Drama,movie,The Proprietor,0,108365,1.341,/pLaAfn6lziZiGH66ja98p4ZbVnj.jpg,"FR, GB, US",0,An expatriated French novelist returns to Paris when she learns that her childhood home is being placed on the auction block.,"['Merchant Ivory Productions', 'Ognon Pictures']"
3421,tt0117412,5.8,1940,1996,100,Comedy,movie,Pédale douce,0,31789,4.884,/eTsacNYD4grU2dAnINLUcttxzY2.jpg,FR,0,"A closeted gay man's attempt to ""act straight"" for the sake of his job has unexpected consequences.",['Pathé']
3422,tt0117412,5.8,1940,1996,100,Comedy,movie,Pédale douce,0,31789,4.884,/eTsacNYD4grU2dAnINLUcttxzY2.jpg,FR,0,"A closeted gay man's attempt to ""act straight"" for the sake of his job has unexpected consequences.",['Pathé']
3423,tt0117477,7.3,8060,1996,102,"Comedy,Drama,History",movie,Ridicule,3000000,12709,8.999,/j78rRskAapKtILalcxAmdskGtzb.jpg,FR,2503829,"To get royal backing on a needed drainage project, a poor French lord must learn to play the delicate games of wit at court at Versailles.",['Epithète Films']
3424,tt0117477,7.3,8060,1996,102,"Comedy,Drama,History",movie,Ridicule,3000000,12709,8.999,/j78rRskAapKtILalcxAmdskGtzb.jpg,FR,2503829,"To get royal backing on a needed drainage project, a poor French lord must learn to play the delicate games of wit at court at Versailles.",['Epithète Films']
